provincia,canton,16/4/2020,17/4/2020,18/4/2020,19/4/2020,20/4/2020,21/4/2020,22/4/2020,23/4/2020,24/4/2020,25/4/2020,26/4/2020,27/4/2020,28/4/2020,29/4/2020,30/4/2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020
ALAJUELA,ALAJUELA,17,21,27,33,34,36,42,42,42,45,50,50,51,50,51,52,54,54,55,55,56,57
ALAJUELA,ATENAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ALAJUELA,GRECIA,1,1,1,2,2,2,2,2,2,2,4,4,4,5,5,5,6,7,10,11,11,11
ALAJUELA,GUATUSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAJUELA,LOS CHILES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAJUELA,NARANJO,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ALAJUELA,OROTINA,0,0,1,1,1,1,1,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
ALAJUELA,PALMARES,0,0,0,0,0,0,1,2,6,7,8,8,7,7,7,7,8,8,9,9,9,9
ALAJUELA,POAS,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
ALAJUELA,RIO CUARTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAJUELA,SAN CARLOS,0,0,2,5,5,5,7,7,7,8,9,9,11,12,13,13,13,17,17,19,20,23
ALAJUELA,SAN MATEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAJUELA,SAN RAMON,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3
ALAJUELA,SARCHI,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3
ALAJUELA,UPALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAJUELA,ZARCERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARTAGO,ALVARADO,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
CARTAGO,CARTAGO,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,6,6,7,7,8,11
CARTAGO,EL GUARCO,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,5,5
